
1900, 608, 69.30235291, 16.06485176, 1143.50, 19, 293.563, 141, 20, 87350.49, 53.21, -60, 3
1904, 609, 69.30244446, 16.06556702, 1173.00, 19, 293.000, 141, 20, 87001.14, 53.57, -60, 3
1908, 610, 69.30253601, 16.06598663, 1194.50, 19, 293.500, 141, 20, 86715.48, 53.74, -64, 1
1912, 611, 69.30259705, 16.06675529, 1221.50, 19, 294.625, 141, 20, 86400.75, 53.08, -60, 1
1916, 612, 69.30269623, 16.06734657, 1257.00, 19, 296.688, 141, 20, 86016.69, 53.71, -62, 3
1920, 613, 69.30282593, 16.06822777, 1293.50, 19, 296.063, 141, 20, 85748.00, 54.28, -63, 3
1924, 614, 69.30292511, 16.06907272, 1328.50, 19, 300.875, 141, 20, 85442.00, 54.40, -62, 1
1928, 615, 69.30298615, 16.06977081, 1358.50, 19, 302.625, 141, 20, 85137.38, 54.58, -61, 3
1932, 616, 69.30304718, 16.07035446, 1390.50, 19, 304.063, 141, 20, 84851.56, 55.06, -62, 3
1936, 617, 69.30306244, 16.07097435, 1422.00, 18, 305.938, 141, 20, 84568.83, 54.77, -63, 3
1940, 618, 69.30311584, 16.07157898, 1451.00, 19, 310.063, 141, 20, 84286.16, 54.70, -65, 3
1944, 619, 69.30317688, 16.07217979, 1482.00, 19, 309.938, 141, 20, 83998.08, 54.57, -59, 3
1948, 620, 69.30317688, 16.07281494, 1514.50, 19, 308.938, 141, 20, 83695.93, 54.91, -67, 3
1952, 621, 69.30324554, 16.07356453, 1543.00, 19, 312.000, 141, 20, 83429.72, 55.66, -66, 3
1956, 622, 69.30329895, 16.07432938, 1563.50, 19, 312.063, 141, 20, 83206.84, 55.52, -61, 3
1960, 623, 69.30336761, 16.07476807, 1581.50, 19, 310.938, 141, 20, 82959.36, 54.94, -68, 3
1964, 624, 69.30338287, 16.07522964, 1601.00, 19, 316.750, 141, 20, 82711.63, 54.86, -61, 3
1968, 625, 69.30346680, 16.07579041, 1619.00, 19, 316.188, 141, 20, 82477.54, 55.21, -66, 3
1971, 626, 69.30353546, 16.07644653, 1639.50, 19, 316.000, 141, 20, 82241.77, 55.36, -65, 3
1975, 627, 69.30362701, 16.07698631, 1664.50, 19, 321.563, 141, 20, 81954.71, 55.60, -63, 3
1979, 628, 69.30369568, 16.07731056, 1691.00, 19, 321.938, 141, 20, 81739.02, 56.12, -71, 3
1983, 629, 69.30373383, 16.07769394, 1710.50, 19, 321.500, 141, 20, 81509.64, 55.53, -64, 3
1987, 630, 69.30381775, 16.07820702, 1730.00, 19, 326.063, 141, 20, 81239.95, 55.35, -65, 3
1991, 631, 69.30386353, 16.07894135, 1750.50, 19, 327.188, 141, 20, 81040.22, 56.09, -68, 3
1995, 632, 69.30401611, 16.07956505, 1773.50, 19, 329.250, 141, 20, 80770.41, 56.29, -73, 3
1999, 633, 69.30413818, 16.08026314, 1806.50, 19, 335.375, 141, 20, 80491.47, 56.46, -63, 3
2003, 634, 69.30422211, 16.08068466, 1838.00, 19, 338.375, 141, 20, 80241.69, 57.15, -65, 3
2007, 635, 69.30443573, 16.08109665, 1864.50, 19, 339.438, 141, 20, 79986.89, 56.99, -62, 3
2011, 636, 69.30448151, 16.08152580, 1895.50, 19, 346.000, 141, 20, 79737.52, 57.27, -66, 3
2015, 637, 69.30458069, 16.08176804, 1920.50, 19, 345.063, 141, 20, 79509.13, 58.44, -65, 3
2019, 638, 69.30463409, 16.08227348, 1941.00, 19, 347.000, 141, 20, 79322.00, 58.72, -68, 3
2023, 639, 69.30475616, 16.08283234, 1961.00, 19, 343.563, 141, 20, 79161.47, 58.33, -69, 3
